
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
491,245,7847.84765,-1734,FFFFF93A,1742.32543
493,246,7879.87988,-1734,FFFFF93A,1759.97802
495,247,7911.91210,-1735,FFFFF939,1736.84057
497,248,7943.94384,-1736,FFFFF938,1758.19311
499,249,7975.97607,-1736,FFFFF938,1779.11767
501,250,8008.00781,-1737,FFFFF937,1747.27282
503,251,8040.04003,-1738,FFFFF936,1765.29101
505,252,8072.07226,-1738,FFFFF936,1751.27124
507,253,8104.10400,-1738,FFFFF936,1767.73864
509,254,8136.13623,-1738,FFFFF936,1742.46508
511,255,8168.16796,-1739,FFFFF935,1750.03930
513,256,8200.20019,-1740,FFFFF934,1750.94238
515,257,8232.23242,-1741,FFFFF933,1748.92456
517,258,8264.26464,-1741,FFFFF933,1760.73229
519,259,8296.29589,-1742,FFFFF932,1750.98010
521,260,8328.32812,-1743,FFFFF931,1745.49816
523,261,8360.36035,-1743,FFFFF931,1755.15307
525,262,8392.39257,-1744,FFFFF930,1752.75817
527,263,8424.42480,-1744,FFFFF930,1758.63659
529,264,8456.45605,-1745,FFFFF92F,1739.83435
531,265,8488.48828,-1747,FFFFF92D,1755.95971
533,266,8520.52050,-1747,FFFFF92D,1737.20727
535,267,8552.55273,-1748,FFFFF92C,1771.79443
537,268,8584.58496,-1748,FFFFF92C,1765.49816
539,269,8616.61621,-1749,FFFFF92B,1776.01220
541,270,8648.64843,-1749,FFFFF92B,1751.35485
543,271,8680.68066,-1751,FFFFF929,1762.97045
545,272,8712.71289,-1752,FFFFF928,1749.29052
547,273,8744.74511,-1752,FFFFF928,1764.63488
549,274,8776.77636,-1752,FFFFF928,1760.48742
551,275,8808.80859,-1752,FFFFF928,1752.95776
553,276,8840.84082,-1754,FFFFF926,1762.52746
555,277,8872.87304,-1755,FFFFF925,1747.07629
557,278,8904.90527,-1756,FFFFF924,1753.55383
559,279,8936.93652,-1756,FFFFF924,1772.62915
561,280,8968.96875,-1757,FFFFF923,1740.11682
563,281,9001.00097,-1758,FFFFF922,1766.64257
